"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"1063","CHEMBL378727","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)Nc4ccc(C(=O)O)cc4)ccc3N2)c(O)c2cccnc21","'='","20.0","CHEMBL1138070",2e-08,7.69897000433602,"active"
"1064","CHEMBL176905","O=C(O)c1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1","'='","20.0","CHEMBL1149207",2e-08,7.69897000433602,"active"
"1065","CHEMBL202317","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21","'='","20.0","CHEMBL1148625",2e-08,7.69897000433602,"active"
"1066","CHEMBL208945","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCCC(N)=O)ccc3N2)c(O)c2cccnc21","'='","20.0","CHEMBL1138070",2e-08,7.69897000433602,"active"
"1067","CHEMBL4105584","COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1[C@@H]3CC[C@H]1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21","'='","20.0","CHEMBL4321790",2e-08,7.69897000433602,"active"
"1068","CHEMBL4285442","CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12","'='","20.0","CHEMBL4251547",2e-08,7.69897000433602,"active"
"1069","CHEMBL4225768","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2nccc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)OC)C(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1","'='","19.0","CHEMBL4219218",1.9e-08,7.72124639904717,"active"
"1070","CHEMBL362572","CS(=O)(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1","'='","19.0","CHEMBL1140313",1.9e-08,7.72124639904717,"active"
"1071","CHEMBL377813","CCN(C(C)=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","19.0","CHEMBL1138950",1.9e-08,7.72124639904717,"active"
"1072","CHEMBL366574","O=C(O)COc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1","'='","19.0","CHEMBL1149207",1.9e-08,7.72124639904717,"active"
"1073","CHEMBL215056","CN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc21","'='","19.0","CHEMBL1137351",1.9e-08,7.72124639904717,"active"
"1075","CHEMBL414993","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1","'='","18.0","CHEMBL4219218",1.8e-08,7.74472749489669,"active"
"1076","CHEMBL193242","CN(C)C1CCN(C(=O)Cn2c(C3=CCCCC3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1","'='","18.0","CHEMBL1140313",1.8e-08,7.74472749489669,"active"
"1077","CHEMBL361156","CN(C)C(=O)Cn1c(-c2cccc(F)c2)c(C2CCCCC2)c2ccc(C(=O)O)cc21","'='","18.0","CHEMBL1142688",1.8e-08,7.74472749489669,"active"
"1078","CHEMBL211639","CNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","18.0","CHEMBL3045038",1.8e-08,7.74472749489669,"active"
"1079","CHEMBL4284172","CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(c5ccccc5)CC4)c3)cc12","'='","18.0","CHEMBL4251547",1.8e-08,7.74472749489669,"active"
"1080","CHEMBL179970","COc1ccc(-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2CC(=O)N(C)C)cc1","'='","18.0","CHEMBL1142688",1.8e-08,7.74472749489669,"active"
